event_id,shipment_id,event_timestamp,event_type,event_city,latitude,longitude,event_delay_minutes
54,11,2024-02-22 15:47:00,Out For Delivery,Mysuru,16.80321,76.92358,4
55,11,2024-02-22 19:01:00,Delivered,Mumbai,12.76059,76.80718,2
56,12,2024-12-14 00:00:00,Picked Up,Pune,20.07516,74.63009,0
57,12,2024-12-14 04:52:00,In Transit,Bengaluru,17.34758,79.20225,0
58,12,2024-12-14 09:44:00,At Hub,Mumbai,13.56745,78.9083,9
59,12,2024-12-14 14:26:00,Out For Delivery,Bengaluru,17.01171,77.21482,26
60,12,2024-12-14 17:24:00,Delivered,Pune,12.28552,79.85066,0
61,13,2025-03-16 00:00:00,Picked Up,Hyderabad,14.29079,74.14136,0
62,13,2025-03-16 01:53:00,In Transit,Mysuru,11.85474,77.69986,0
63,13,2025-03-16 03:47:00,At Hub,Pune,17.113,74.03442,0
64,13,2025-03-16 05:37:00,Out For Delivery,Hyderabad,17.51116,75.90327,6
65,13,2025-03-16 06:47:00,Delivered,Pune,19.54483,80.22059,0
66,14,2024-07-26 00:00:00,Picked Up,Chennai,13.74409,78.30786,0
67,14,2024-07-26 03:17:00,In Transit,Mysuru,18.60983,77.38577,0
68,14,2024-07-26 06:35:00,At Hub,Bengaluru,16.10796,74.6283,0
69,14,2024-07-26 09:46:00,Out For Delivery,Bengaluru,14.44956,75.57304,8
70,14,2024-07-26 11:47:00,Delivered,Mysuru,17.81581,80.39457,16
71,15,2024-10-30 00:00:00,Picked Up,Chennai,19.21765,79.3629,0
72,15,2024-10-30 04:49:00,In Transit,Hyderabad,17.08568,73.24043,0
73,15,2024-10-30 09:39:00,At Hub,Bengaluru,11.54404,73.91511,9
74,15,2024-10-30 14:18:00,Out For Delivery,Chennai,16.27398,78.58868,0
75,15,2024-10-30 17:14:00,Delivered,Bengaluru,17.69596,74.58779,0
76,16,2024-10-03 00:00:00,Picked Up,Mumbai,14.33098,79.06912,0
77,16,2024-10-03 01:45:00,In Transit,Hyderabad,17.15181,79.97317,0
78,16,2024-10-03 03:30:00,At Hub,Mumbai,17.22123,77.50112,14
79,16,2024-10-03 05:11:00,Out For Delivery,Mysuru,13.80726,74.64711,1
80,16,2024-10-03 06:15:00,Delivered,Hyderabad,19.96519,75.95926,0
81,17,2024-04-08 00:00:00,Picked Up,Chennai,19.26081,78.05402,0
82,17,2024-04-08 05:16:00,In Transit,Hyderabad,18.41486,76.92321,0
83,17,2024-04-08 10:33:00,At Hub,Hyderabad,13.19861,78.85758,1
84,17,2024-04-08 15:38:00,Out For Delivery,Chennai,13.94272,72.71398,45
85,17,2024-04-08 18:51:00,Delivered,Mysuru,19.68199,80.89457,0
86,18,2024-04-23 00:00:00,Picked Up,Hyderabad,19.45932,75.7574,0
87,18,2024-04-23 05:59:00,In Transit,Mysuru,11.63447,80.6692,0
88,18,2024-04-23 11:59:00,At Hub,Mysuru,15.2252,81.00656,12
89,18,2024-04-23 17:45:00,Out For Delivery,Mysuru,18.90489,75.28891,0
90,18,2024-04-23 21:24:00,Delivered,Bengaluru,12.97459,77.39985,0
91,19,2024-01-13 00:00:00,Picked Up,Pune,19.64455,78.62506,0
92,19,2024-01-13 02:02:00,In Transit,Mysuru,16.45953,73.35515,0
93,19,2024-01-13 04:05:00,At Hub,Chennai,19.13315,79.01876,5
94,19,2024-01-13 06:04:00,Out For Delivery,Pune,17.56404,78.68186,0
95,19,2024-01-13 07:19:00,Delivered,Mysuru,18.54144,79.629,0
96,20,2024-06-18 00:00:00,Picked Up,Chennai,19.04353,80.53652,0
97,20,2024-06-18 04:15:00,In Transit,Chennai,15.94868,76.91334,0
98,20,2024-06-18 08:31:00,At Hub,Mumbai,18.44517,78.21968,0
99,20,2024-06-18 12:38:00,Out For Delivery,Mumbai,19.24305,75.47436,19
100,20,2024-06-18 15:14:00,Delivered,Hyderabad,14.76757,73.32704,14
101,21,2024-11-03 00:00:00,Picked Up,Mysuru,16.53104,72.81629,0
102,21,2024-11-03 03:53:00,In Transit,Mysuru,15.5507,77.27527,0
103,21,2024-11-03 07:46:00,At Hub,Pune,11.76535,72.82866,15
104,21,2024-11-03 11:31:00,Out For Delivery,Chennai,18.65662,75.66968,0
105,21,2024-11-03 13:53:00,Delivered,Mysuru,18.19894,74.39923,5
106,22,2024-10-04 00:00:00,Picked Up,Hyderabad,16.91915,73.25106,0
107,22,2024-10-04 02:38:00,In Transit,Bengaluru,11.94963,77.17592,0
108,22,2024-10-04 05:16:00,At Hub,Chennai,16.20353,78.10938,0
109,22,2024-10-04 07:49:00,Out For Delivery,Bengaluru,18.41812,74.88332,0
110,22,2024-10-04 09:26:00,Delivered,Hyderabad,15.31905,73.19042,7
111,23,2024-10-16 00:00:00,Picked Up,Mumbai,11.72055,80.97131,0
112,23,2024-10-16 05:01:00,In Transit,Hyderabad,18.77303,78.62457,0
113,23,2024-10-16 10:03:00,At Hub,Bengaluru,12.861,74.70214,0
114,23,2024-10-16 14:54:00,Out For Delivery,Chennai,16.27827,78.78844,0
115,23,2024-10-16 17:58:00,Delivered,Pune,19.80733,78.99349,0
116,24,2024-09-24 00:00:00,Picked Up,Mysuru,16.32288,77.88314,0
117,24,2024-09-24 04:55:00,In Transit,Hyderabad,15.15052,74.68003,0
118,24,2024-09-24 09:51:00,At Hub,Chennai,14.59696,79.16905,18
119,24,2024-09-24 14:36:00,Out For Delivery,Mysuru,15.62531,73.36094,11
120,24,2024-09-24 17:36:00,Delivered,Mumbai,15.77706,76.66655,16
121,25,2024-03-15 00:00:00,Picked Up,Mumbai,13.00686,76.31789,0
122,25,2024-03-15 02:33:00,In Transit,Mysuru,14.96699,77.91948,0
123,25,2024-03-15 05:06:00,At Hub,Mumbai,14.75913,78.00757,0
124,25,2024-03-15 07:34:00,Out For Delivery,Chennai,15.87729,80.03711,6
125,25,2024-03-15 09:08:00,Delivered,Hyderabad,12.11395,78.15329,0
126,26,2024-12-20 00:00:00,Picked Up,Chennai,11.73065,77.65483,0
127,26,2024-12-20 02:44:00,In Transit,Chennai,19.68,77.56417,0
128,26,2024-12-20 05:28:00,At Hub,Mysuru,14.87708,78.16094,11
129,26,2024-12-20 08:06:00,Out For Delivery,Pune,19.69074,75.8977,36
130,26,2024-12-20 09:46:00,Delivered,Pune,19.86236,80.46709,0
131,27,2025-01-13 00:00:00,Picked Up,Hyderabad,13.20338,73.11038,0
132,27,2025-01-13 01:42:00,In Transit,Mysuru,12.37677,72.66035,0
133,27,2025-01-13 03:25:00,At Hub,Pune,12.11934,75.30699,9
134,27,2025-01-13 05:04:00,Out For Delivery,Mumbai,18.85042,72.70479,0
135,27,2025-01-13 06:07:00,Delivered,Pune,12.52803,78.63129,0
136,28,2024-06-13 00:00:00,Picked Up,Mumbai,16.9718,80.22175,0
137,28,2024-06-13 04:35:00,In Transit,Hyderabad,17.89512,79.57063,0
138,28,2024-06-13 09:11:00,At Hub,Chennai,13.9537,74.06147,17
139,28,2024-06-13 13:37:00,Out For Delivery,Chennai,20.11739,76.13104,16
140,28,2024-06-13 16:25:00,Delivered,Pune,14.73656,79.33243,14
141,29,2024-01-19 00:00:00,Picked Up,Mumbai,14.46499,80.69066,0
142,29,2024-01-19 06:09:00,In Transit,Bengaluru,18.96819,76.27515,0
143,29,2024-01-19 12:18:00,At Hub,Bengaluru,12.39718,80.44247,17
144,29,2024-01-19 18:13:00,Out For Delivery,Bengaluru,15.8957,79.77283,17
145,29,2024-01-19 21:58:00,Delivered,Chennai,14.88605,72.59537,15
146,30,2024-02-13 00:00:00,Picked Up,Mysuru,19.37682,73.30332,0
147,30,2024-02-13 04:35:00,In Transit,Chennai,14.27803,80.86055,0
148,30,2024-02-13 09:11:00,At Hub,Mysuru,19.77028,77.54625,0
149,30,2024-02-13 13:36:00,Out For Delivery,Mumbai,14.05093,75.39225,0
150,30,2024-02-13 16:24:00,Delivered,Pune,17.35091,79.1209,36
151,31,2025-01-08 00:00:00,Picked Up,Bengaluru,18.38674,79.44864,0
152,31,2025-01-08 02:34:00,In Transit,Mumbai,12.29349,76.8509,0
153,31,2025-01-08 05:09:00,At Hub,Mumbai,15.34132,80.3118,6
154,31,2025-01-08 07:38:00,Out For Delivery,Pune,14.55296,73.53019,0
155,31,2025-01-08 09:13:00,Delivered,Mumbai,16.8785,73.38988,11
156,32,2025-03-22 00:00:00,Picked Up,Pune,12.23173,78.66853,0
157,32,2025-03-22 01:17:00,In Transit,Hyderabad,12.13304,79.73237,0
158,32,2025-03-22 02:34:00,At Hub,Pune,17.64431,73.21587,0
159,32,2025-03-22 03:48:00,Out For Delivery,Bengaluru,18.57136,80.83579,0
160,32,2025-03-22 04:35:00,Delivered,Mysuru,20.07821,79.12973,0
161,33,2024-03-05 00:00:00,Picked Up,Mysuru,14.77346,73.23481,0
162,33,2024-03-05 02:01:00,In Transit,Bengaluru,18.26118,77.41396,0
163,33,2024-03-05 04:03:00,At Hub,Mysuru,12.46742,76.8351,17
164,33,2024-03-05 06:01:00,Out For Delivery,Pune,11.59878,76.62421,2
165,33,2024-03-05 07:15:00,Delivered,Hyderabad,17.99059,77.63365,9
166,34,2024-12-16 00:00:00,Picked Up,Mysuru,19.8709,75.79886,0
167,34,2024-12-16 06:25:00,In Transit,Hyderabad,13.9857,80.14367,0
168,34,2024-12-16 12:51:00,At Hub,Bengaluru,13.44528,80.97636,0
169,34,2024-12-16 19:03:00,Out For Delivery,Hyderabad,12.14203,77.37392,8
170,34,2024-12-16 22:58:00,Delivered,Mumbai,19.93293,77.10326,5
171,35,2025-01-03 00:00:00,Picked Up,Chennai,16.97577,78.62259,0
172,35,2025-01-03 01:47:00,In Transit,Mumbai,15.45451,78.02251,0
173,35,2025-01-03 03:35:00,At Hub,Bengaluru,11.89538,74.97248,18
174,35,2025-01-03 05:19:00,Out For Delivery,Mysuru,19.76858,80.33432,7
175,35,2025-01-03 06:25:00,Delivered,Mysuru,13.91322,74.15547,37
176,36,2024-11-01 00:00:00,Picked Up,Hyderabad,15.53418,75.6095,0
177,36,2024-11-01 01:36:00,In Transit,Pune,16.57781,73.18406,0
178,36,2024-11-01 03:12:00,At Hub,Chennai,19.97723,81.17865,0
179,36,2024-11-01 04:44:00,Out For Delivery,Pune,14.19289,79.6614,10
180,36,2024-11-01 05:43:00,Delivered,Bengaluru,17.45716,73.93103,33
181,37,2025-02-04 00:00:00,Picked Up,Mysuru,19.42507,79.73833,0
182,37,2025-02-04 00:37:00,In Transit,Hyderabad,19.76326,78.88633,0
183,37,2025-02-04 01:14:00,At Hub,Mysuru,19.61474,80.12136,0
184,37,2025-02-04 01:50:00,Out For Delivery,Pune,11.8934,72.73203,32
185,37,2025-02-04 02:13:00,Delivered,Pune,20.0893,73.82367,22
186,38,2024-04-02 00:00:00,Picked Up,Chennai,16.66894,75.85184,0
187,38,2024-04-02 02:28:00,In Transit,Chennai,19.93826,79.91065,0
188,38,2024-04-02 04:57:00,At Hub,Hyderabad,18.79346,76.6245,0
189,38,2024-04-02 07:20:00,Out For Delivery,Chennai,11.99047,80.10956,0
190,38,2024-04-02 08:51:00,Delivered,Pune,18.57224,81.29752,0
191,39,2025-03-08 00:00:00,Picked Up,Pune,20.17074,77.3878,0
192,39,2025-03-08 04:34:00,In Transit,Bengaluru,18.19019,80.81394,0
193,39,2025-03-08 09:08:00,At Hub,Pune,15.41973,73.6366,0
194,39,2025-03-08 13:33:00,Out For Delivery,Hyderabad,19.80024,77.83434,14
195,39,2025-03-08 16:20:00,Delivered,Mumbai,16.87772,75.65183,15
196,40,2024-06-02 00:00:00,Picked Up,Bengaluru,12.48795,78.40984,0
197,40,2024-06-02 02:19:00,In Transit,Bengaluru,16.02668,79.2964,0
198,40,2024-06-02 04:38:00,At Hub,Hyderabad,16.02542,79.9992,0
199,40,2024-06-02 06:53:00,Out For Delivery,Hyderabad,19.12689,76.05065,35
200,40,2024-06-02 08:18:00,Delivered,Chennai,12.66593,72.75329,31
201,41,2024-03-26 00:00:00,Picked Up,Bengaluru,18.06969,77.95872,0
202,41,2024-03-26 04:42:00,In Transit,Chennai,17.62549,74.37408,0
203,41,2024-03-26 09:25:00,At Hub,Pune,14.91252,76.34978,20
204,41,2024-03-26 13:58:00,Out For Delivery,Bengaluru,19.36618,75.56465,0
205,41,2024-03-26 16:50:00,Delivered,Bengaluru,14.94992,77.97436,27
206,42,2024-06-28 00:00:00,Picked Up,Mysuru,19.00256,80.85578,0
207,42,2024-06-28 01:52:00,In Transit,Mumbai,12.77954,80.65397,0
208,42,2024-06-28 03:45:00,At Hub,Bengaluru,15.78141,74.77255,6
209,42,2024-06-28 05:33:00,Out For Delivery,Pune,15.78578,75.39301,10
210,42,2024-06-28 06:42:00,Delivered,Chennai,17.01059,74.61328,4
211,43,2025-02-11 00:00:00,Picked Up,Chennai,12.16001,73.63414,0
212,43,2025-02-11 02:56:00,In Transit,Mysuru,12.614,73.83674,0
213,43,2025-02-11 05:52:00,At Hub,Mumbai,13.08236,75.54187,10
214,43,2025-02-11 08:42:00,Out For Delivery,Pune,19.30206,76.67086,0
215,43,2025-02-11 10:30:00,Delivered,Chennai,13.17291,72.85964,0
216,44,2024-10-01 00:00:00,Picked Up,Hyderabad,12.96974,74.95159,0
217,44,2024-10-01 06:26:00,In Transit,Pune,13.03999,73.28058,0
218,44,2024-10-01 12:53:00,At Hub,Pune,12.54953,76.55485,12
219,44,2024-10-01 19:07:00,Out For Delivery,Mumbai,15.87973,78.57547,0
220,44,2024-10-01 23:02:00,Delivered,Chennai,11.84202,79.53481,0
221,45,2024-01-10 00:00:00,Picked Up,Pune,16.96273,73.21948,0
222,45,2024-01-10 04:20:00,In Transit,Mysuru,19.10013,80.60368,0
223,45,2024-01-10 08:40:00,At Hub,Mysuru,18.51395,79.08469,3
224,45,2024-01-10 12:51:00,Out For Delivery,Chennai,13.10533,74.34227,1
225,45,2024-01-10 15:30:00,Delivered,Mysuru,16.87882,75.74644,0
226,46,2025-02-21 00:00:00,Picked Up,Hyderabad,15.52405,79.07774,0
227,46,2025-02-21 04:24:00,In Transit,Mumbai,11.81914,74.72145,0
228,46,2025-02-21 08:48:00,At Hub,Mysuru,17.70614,80.37782,0
229,46,2025-02-21 13:02:00,Out For Delivery,Mysuru,12.4324,76.43723,51
230,46,2025-02-21 15:43:00,Delivered,Hyderabad,16.13377,74.63374,21
231,47,2024-05-11 00:00:00,Picked Up,Mumbai,13.84242,75.8201,0
232,47,2024-05-11 03:08:00,In Transit,Pune,11.67462,75.3343,0
233,47,2024-05-11 06:16:00,At Hub,Mumbai,12.54193,80.33664,0
234,47,2024-05-11 09:17:00,Out For Delivery,Bengaluru,16.66425,78.4761,0
235,47,2024-05-11 11:12:00,Delivered,Chennai,12.25621,77.22654,4
236,48,2024-11-04 00:00:00,Picked Up,Chennai,16.60552,79.05987,0
237,48,2024-11-04 03:58:00,In Transit,Bengaluru,15.25544,73.62271,0
238,48,2024-11-04 07:56:00,At Hub,Hyderabad,13.96885,75.69512,27
239,48,2024-11-04 11:45:00,Out For Delivery,Bengaluru,14.59804,81.18133,18
240,48,2024-11-04 14:10:00,Delivered,Pune,16.77024,74.5876,33
241,49,2025-02-14 00:00:00,Picked Up,Pune,12.38551,73.84516,0
242,49,2025-02-14 06:06:00,In Transit,Chennai,13.63983,73.914,0
243,49,2025-02-14 12:12:00,At Hub,Pune,13.00835,80.39154,0
244,49,2025-02-14 18:05:00,Out For Delivery,Chennai,12.19803,77.1157,0
245,49,2025-02-14 21:48:00,Delivered,Bengaluru,12.47474,76.00113,9
246,50,2024-10-09 00:00:00,Picked Up,Bengaluru,19.93439,80.11646,0
247,50,2024-10-09 06:02:00,In Transit,Mysuru,18.60853,74.76954,0
248,50,2024-10-09 12:05:00,At Hub,Mysuru,12.98672,78.38406,4
249,50,2024-10-09 17:55:00,Out For Delivery,Bengaluru,16.47303,74.96382,6
250,50,2024-10-09 21:36:00,Delivered,Chennai,18.19459,74.14598,16
251,51,2024-04-13 00:00:00,Picked Up,Bengaluru,14.31601,76.24384,0
252,51,2024-04-13 06:00:00,In Transit,Bengaluru,15.91621,74.63321,0
253,51,2024-04-13 12:00:00,At Hub,Hyderabad,14.01109,77.6149,8
254,51,2024-04-13 17:48:00,Out For Delivery,Bengaluru,12.84296,76.73403,0
255,51,2024-04-13 21:27:00,Delivered,Pune,14.42846,73.68285,0
256,52,2024-04-19 00:00:00,Picked Up,Chennai,12.05136,81.21165,0
257,52,2024-04-19 02:36:00,In Transit,Hyderabad,14.30448,79.6269,0
258,52,2024-04-19 05:13:00,At Hub,Mysuru,13.71537,78.49722,5
259,52,2024-04-19 07:43:00,Out For Delivery,Mumbai,15.60271,76.1242,12
260,52,2024-04-19 09:19:00,Delivered,Chennai,14.53515,80.67986,26
261,53,2024-03-03 00:00:00,Picked Up,Pune,18.72639,80.99224,0
262,53,2024-03-03 02:50:00,In Transit,Chennai,12.58139,78.93163,0
263,53,2024-03-03 05:41:00,At Hub,Mysuru,16.49792,79.90809,6
264,53,2024-03-03 08:26:00,Out For Delivery,Pune,12.71602,79.49835,2
265,53,2024-03-03 10:10:00,Delivered,Pune,12.92911,79.66826,0
266,54,2024-10-11 00:00:00,Picked Up,Mumbai,17.28722,77.10298,0
267,54,2024-10-11 02:25:00,In Transit,Chennai,14.62183,80.21936,0
268,54,2024-10-11 04:50:00,At Hub,Mumbai,14.91427,79.68608,0
269,54,2024-10-11 07:09:00,Out For Delivery,Mumbai,15.52531,75.15213,0
270,54,2024-10-11 08:38:00,Delivered,Chennai,18.0042,76.92394,0
271,55,2024-10-31 00:00:00,Picked Up,Bengaluru,13.52025,80.41626,0
272,55,2024-10-31 01:35:00,In Transit,Bengaluru,14.83985,77.28327,0
273,55,2024-10-31 03:10:00,At Hub,Mysuru,12.51701,80.77052,8
274,55,2024-10-31 04:42:00,Out For Delivery,Mumbai,16.96106,75.44717,16
275,55,2024-10-31 05:40:00,Delivered,Hyderabad,16.89463,77.19446,10
276,56,2024-05-10 00:00:00,Picked Up,Mumbai,19.27687,79.43966,0
277,56,2024-05-10 02:52:00,In Transit,Mumbai,12.81957,75.24315,0
278,56,2024-05-10 05:45:00,At Hub,Mumbai,13.66186,79.04673,0
279,56,2024-05-10 08:32:00,Out For Delivery,Mysuru,18.13339,80.21554,6
280,56,2024-05-10 10:17:00,Delivered,Bengaluru,14.47611,79.72706,0
281,57,2024-08-16 00:00:00,Picked Up,Mysuru,12.4625,79.94878,0
282,57,2024-08-16 02:35:00,In Transit,Mysuru,12.60915,75.99613,0
283,57,2024-08-16 05:10:00,At Hub,Mysuru,13.49449,78.85582,0
284,57,2024-08-16 07:39:00,Out For Delivery,Bengaluru,17.76432,78.1421,10
285,57,2024-08-16 09:14:00,Delivered,Bengaluru,13.69065,75.54212,11
286,58,2024-11-25 00:00:00,Picked Up,Mumbai,13.0799,80.49436,0
287,58,2024-11-25 04:31:00,In Transit,Mysuru,16.57551,76.02749,0
288,58,2024-11-25 09:03:00,At Hub,Hyderabad,15.51945,80.83609,33
289,58,2024-11-25 13:25:00,Out For Delivery,Bengaluru,15.90123,77.8808,9
290,58,2024-11-25 16:10:00,Delivered,Chennai,11.65756,80.17469,0
291,59,2024-12-20 00:00:00,Picked Up,Chennai,19.60943,77.47317,0
292,59,2024-12-20 04:49:00,In Transit,Chennai,17.56086,80.61799,0
293,59,2024-12-20 09:39:00,At Hub,Pune,16.51371,77.83909,0
294,59,2024-12-20 14:19:00,Out For Delivery,Mumbai,15.18994,78.98071,12
295,59,2024-12-20 17:15:00,Delivered,Chennai,20.06812,79.8823,0
296,60,2024-03-15 00:00:00,Picked Up,Mumbai,12.58457,80.60341,0
297,60,2024-03-15 05:02:00,In Transit,Chennai,19.0681,77.06577,0
298,60,2024-03-15 10:04:00,At Hub,Hyderabad,16.6441,76.01122,3
299,60,2024-03-15 14:55:00,Out For Delivery,Mumbai,18.48483,72.54076,2
300,60,2024-03-15 17:59:00,Delivered,Chennai,14.40144,76.00388,0
301,61,2024-05-13 00:00:00,Picked Up,Bengaluru,16.17534,80.59473,0
302,61,2024-05-13 04:14:00,In Transit,Mumbai,14.51321,75.55319,0
303,61,2024-05-13 08:28:00,At Hub,Pune,13.45406,76.48147,0
304,61,2024-05-13 12:33:00,Out For Delivery,Bengaluru,12.72546,74.05221,30
305,61,2024-05-13 15:08:00,Delivered,Bengaluru,19.45916,75.68907,0
306,62,2024-01-29 00:00:00,Picked Up,Mysuru,16.55112,78.06393,0
307,62,2024-01-29 04:06:00,In Transit,Pune,11.61392,78.33913,0
308,62,2024-01-29 08:13:00,At Hub,Bengaluru,13.04891,80.95742,4
309,62,2024-01-29 12:11:00,Out For Delivery,Bengaluru,12.24254,81.27249,0
310,62,2024-01-29 14:41:00,Delivered,Chennai,15.8691,77.73939,0
311,63,2024-08-14 00:00:00,Picked Up,Chennai,12.08357,79.09965,0
312,63,2024-08-14 03:52:00,In Transit,Mumbai,13.32618,80.40288,0
313,63,2024-08-14 07:44:00,At Hub,Mumbai,11.81798,76.65419,0
314,63,2024-08-14 11:28:00,Out For Delivery,Mumbai,16.41412,73.07824,0
315,63,2024-08-14 13:49:00,Delivered,Chennai,16.0622,76.37871,1
316,64,2024-04-11 00:00:00,Picked Up,Mumbai,14.98664,77.42483,0
317,64,2024-04-11 02:01:00,In Transit,Bengaluru,12.85059,74.10097,0
318,64,2024-04-11 04:03:00,At Hub,Chennai,18.99753,80.82582,27
319,64,2024-04-11 06:01:00,Out For Delivery,Mumbai,17.1028,76.09686,0
320,64,2024-04-11 07:15:00,Delivered,Bengaluru,11.72086,73.87414,0
321,65,2024-01-25 00:00:00,Picked Up,Mumbai,17.72896,78.29853,0
322,65,2024-01-25 02:23:00,In Transit,Hyderabad,11.73574,74.45336,0
323,65,2024-01-25 04:47:00,At Hub,Mumbai,11.67148,73.41616,15
324,65,2024-01-25 07:06:00,Out For Delivery,Hyderabad,18.45927,74.07119,0
325,65,2024-01-25 08:34:00,Delivered,Mumbai,12.36514,74.63992,0
326,66,2024-08-10 00:00:00,Picked Up,Mysuru,17.78372,80.03013,0
327,66,2024-08-10 03:00:00,In Transit,Mysuru,18.72291,75.99522,0
328,66,2024-08-10 06:00:00,At Hub,Pune,17.31234,74.30386,15
329,66,2024-08-10 08:53:00,Out For Delivery,Mysuru,11.61312,73.25248,13
330,66,2024-08-10 10:43:00,Delivered,Mysuru,13.30861,72.73348,0
331,67,2024-12-29 00:00:00,Picked Up,Mumbai,13.07849,77.63077,0
332,67,2024-12-29 06:50:00,In Transit,Chennai,15.16639,80.35551,0
333,67,2024-12-29 13:41:00,At Hub,Chennai,13.75698,75.84129,0
334,67,2024-12-29 20:17:00,Out For Delivery,Hyderabad,16.63557,74.85896,20
335,67,2024-12-30 00:27:00,Delivered,Chennai,16.30281,76.33791,0
336,68,2024-09-30 00:00:00,Picked Up,Bengaluru,14.06185,80.84639,0
337,68,2024-09-30 06:08:00,In Transit,Pune,18.14337,73.733,0
338,68,2024-09-30 12:17:00,At Hub,Mysuru,19.05567,76.78939,31
339,68,2024-09-30 18:13:00,Out For Delivery,Pune,15.19936,72.69773,6
340,68,2024-09-30 21:57:00,Delivered,Bengaluru,13.83749,77.26638,7
341,69,2024-06-06 00:00:00,Picked Up,Mysuru,17.01126,74.76941,0
342,69,2024-06-06 05:23:00,In Transit,Hyderabad,12.7124,79.84739,0
