shipment_id,order_id,route_id,carrier_id,shipment_date,promised_delivery_date,actual_delivery_date,status,weight_kg,fuel_cost_index,weather_score,traffic_score,planned_cost,actual_cost,delay_minutes,on_time_flag
51,ORD00051,308,202,2024-04-13 00:00:00,2024-04-13 19:46:55.789027,2024-04-13 21:27:55.789027,Delivered,214.84,1.053,0.698,0.543,21625.52,21586.06,101,0
52,ORD00052,304,203,2024-04-19 00:00:00,2024-04-19 09:53:12.581204,2024-04-19 09:19:12.581204,Delivered,516.8,0.852,0.655,0.422,17887.94,17643.37,-34,1
53,ORD00053,304,204,2024-03-03 00:00:00,2024-03-03 09:03:06.420481,2024-03-03 10:10:06.420481,Delivered,413.07,1.097,0.488,0.487,7371.1,7425.27,67,0
54,ORD00054,304,202,2024-10-11 00:00:00,2024-10-11 08:04:57.561454,2024-10-11 08:38:57.561454,Delivered,883.2,0.968,1.0,0.725,8183.15,8261.81,34,0
55,ORD00055,301,203,2024-10-31 00:00:00,2024-10-31 05:58:02.088227,2024-10-31 05:40:02.088227,Delivered,690.72,1.013,0.414,0.357,11393.68,10916.51,-18,1
56,ORD00056,304,202,2024-05-10 00:00:00,2024-05-10 09:05:29.424667,2024-05-10 10:17:29.424667,Delivered,588.42,0.867,0.198,0.344,7329.08,7701.96,72,0
57,ORD00057,304,204,2024-08-16 00:00:00,2024-08-16 08:30:01.719070,2024-08-16 09:14:01.719070,Delivered,250.73,0.972,0.287,0.43,6535.16,6665.4,44,0
58,ORD00058,307,203,2024-11-25 00:00:00,2024-11-25 16:15:09.919827,2024-11-25 16:10:09.919827,Delivered,656.84,0.851,0.133,0.853,39572.42,39256.86,-5,1
59,ORD00059,303,203,2024-12-20 00:00:00,2024-12-20 14:58:18.561685,2024-12-20 17:15:18.561685,Delivered,541.01,1.162,0.542,0.433,44428.34,44590.23,137,0
60,ORD00060,307,204,2024-03-15 00:00:00,2024-03-15 15:34:54.685078,2024-03-15 17:59:54.685078,Delivered,393.23,0.999,0.58,0.762,14865.29,15033.03,145,0
61,ORD00061,303,202,2024-05-13 00:00:00,2024-05-13 13:05:36.316777,2024-05-13 15:08:36.316777,Delivered,466.28,1.276,0.761,0.48,19649.18,20147.88,123,0
62,ORD00062,307,201,2024-01-29 00:00:00,2024-01-29 15:30:16.173589,2024-01-29 14:41:16.173589,Delivered,523.31,1.161,0.169,0.34,23393.29,23077.65,-49,1
63,ORD00063,303,201,2024-08-14 00:00:00,2024-08-14 14:14:09.599124,2024-08-14 13:49:09.599124,Delivered,180.75,1.276,0.608,0.404,21146.65,21444.55,-25,1
64,ORD00064,304,201,2024-04-11 00:00:00,2024-04-11 07:17:44.595130,2024-04-11 07:15:44.595130,Delivered,611.62,0.842,0.109,0.729,7659.27,7680.8,-2,1
65,ORD00065,304,201,2024-01-25 00:00:00,2024-01-25 08:16:01.381387,2024-01-25 08:34:01.381387,Delivered,440.82,1.015,0.734,0.443,9233.28,9044.1,18,0
66,ORD00066,304,204,2024-08-10 00:00:00,2024-08-10 10:36:21.518881,2024-08-10 10:43:21.518881,Delivered,437.3,1.113,0.557,0.506,7476.63,7407.42,7,0
67,ORD00067,306,204,2024-12-29 00:00:00,2024-12-29 22:20:01.894631,2024-12-30 00:27:01.894631,Delivered,728.44,1.058,0.629,0.908,21333.74,21769.56,127,0
68,ORD00068,306,202,2024-09-30 00:00:00,2024-09-30 20:48:13.459683,2024-09-30 21:57:13.459683,Delivered,339.81,1.276,0.421,0.782,32366.21,32765.82,69,0
69,ORD00069,308,204,2024-06-06 00:00:00,2024-06-06 18:27:16.428536,2024-06-06 19:14:16.428536,Delivered,261.03,1.076,0.736,0.182,17566.78,17544.04,47,0
70,ORD00070,305,204,2024-09-16 00:00:00,2024-09-16 05:48:06.686395,2024-09-16 07:19:06.686395,Delivered,326.84,0.812,0.842,0.824,2824.38,2898.58,91,0
71,ORD00071,306,202,2024-04-08 00:00:00,2024-04-08 21:37:53.206657,2024-04-08 23:37:53.206657,Delivered,419.46,0.795,1.0,0.522,20166.24,20390.56,120,0
72,ORD00072,303,204,2025-03-15 00:00:00,2025-03-15 14:56:43.475640,2025-03-15 15:42:43.475640,Delivered,538.54,1.034,0.397,0.422,12659.88,13113.72,46,0
73,ORD00073,306,203,2024-06-24 00:00:00,2024-06-24 20:28:56.599323,2024-06-24 23:40:56.599323,Delivered,324.44,1.143,0.606,0.497,71984.25,72280.15,192,0
74,ORD00074,304,202,2024-02-28 00:00:00,2024-02-28 09:02:38.979157,2024-02-28 08:33:38.979157,Delivered,455.07,1.038,0.434,0.31,8778.48,8749.92,-29,1
75,ORD00075,306,204,2024-06-06 00:00:00,2024-06-06 22:34:02.308320,2024-06-06 23:28:02.308320,Delivered,312.92,0.926,0.636,0.344,18672.15,18601.74,54,0
76,ORD00076,306,201,2024-08-20 00:00:00,2024-08-20 21:09:15.866197,2024-08-20 22:27:15.866197,Delivered,339.64,1.073,0.526,0.556,29291.47,29482.41,78,0
77,ORD00077,308,201,2024-07-28 00:00:00,2024-07-28 18:22:01.568160,2024-07-28 19:50:01.568160,Delivered,614.41,0.756,0.419,0.474,16702.54,16572.36,88,0
78,ORD00078,302,202,2024-06-05 00:00:00,2024-06-05 09:35:36.625644,2024-06-05 11:07:36.625644,Delivered,497.55,0.913,0.759,0.401,9928.18,10155.97,92,0
79,ORD00079,302,204,2025-01-14 00:00:00,2025-01-14 10:56:31.799419,2025-01-14 12:36:31.799419,Delivered,729.75,0.965,0.765,0.571,8341.45,8994.25,100,0
80,ORD00080,303,201,2024-02-19 00:00:00,2024-02-19 12:20:36.910660,2024-02-19 14:16:36.910660,Delivered,403.85,1.024,0.711,0.766,16965.88,17457.1,116,0
81,ORD00081,303,203,2024-11-14 00:00:00,2024-11-14 12:40:24.762740,2024-11-14 14:52:24.762740,Delivered,350.69,1.236,0.839,0.209,47270.85,47593.98,132,0
82,ORD00082,307,201,2024-06-27 00:00:00,2024-06-27 15:55:39.779479,2024-06-27 16:22:39.779479,Delivered,514.48,1.288,0.484,0.419,25958.1,26332.79,27,0
83,ORD00083,306,203,2025-02-20 00:00:00,2025-02-20 20:31:44.010580,2025-02-20 22:24:44.010580,Delivered,443.9,0.883,0.819,0.626,55600.52,56132.83,113,0
84,ORD00084,308,203,2024-09-07 00:00:00,2024-09-07 19:22:59.322003,2024-09-07 21:56:59.322003,Delivered,401.85,1.259,1.0,0.459,64194.02,64771.76,154,0
85,ORD00085,308,201,2025-01-31 00:00:00,2025-01-31 20:22:06.812861,2025-01-31 21:40:06.812861,Delivered,487.55,0.757,0.444,0.429,16725.29,16779.95,78,0
86,ORD00086,308,202,2024-05-10 00:00:00,2024-05-10 17:55:05.337367,2024-05-10 17:39:05.337367,Delivered,506.81,0.951,0.506,0.348,19519.93,19444.35,-16,1
87,ORD00087,303,201,2025-03-19 00:00:00,2025-03-19 12:26:17.495299,2025-03-19 12:23:17.495299,Delivered,316.9,1.214,1.0,0.479,20117.07,20261.16,-3,1
88,ORD00088,306,204,2024-01-08 00:00:00,2024-01-08 21:10:45.388576,2024-01-08 23:42:45.388576,Delivered,40.0,0.834,0.964,0.192,16807.99,17180.13,152,0
89,ORD00089,307,202,2024-03-24 00:00:00,2024-03-24 14:50:39.955027,2024-03-24 16:32:39.955027,Delivered,195.76,0.99,0.63,0.575,18528.87,18932.26,102,0
90,ORD00090,301,203,2024-09-22 00:00:00,2024-09-22 05:17:30.916082,2024-09-22 04:23:30.916082,Delivered,186.63,1.263,0.328,0.585,14206.16,13933.9,-54,1
91,ORD00091,302,202,2025-01-24 00:00:00,2025-01-24 09:44:27.448275,2025-01-24 11:02:27.448275,Delivered,429.35,0.996,0.501,0.486,10823.44,11111.31,78,0
92,ORD00092,306,204,2024-09-07 00:00:00,2024-09-07 20:55:09.420312,2024-09-07 20:11:09.420312,Delivered,795.91,1.12,0.779,0.569,22574.39,22549.26,-44,1
93,ORD00093,301,201,2024-12-06 00:00:00,2024-12-06 06:16:35.648949,2024-12-06 07:13:35.648949,Delivered,254.91,0.98,0.387,0.715,4779.08,4887.52,57,0
94,ORD00094,305,202,2024-05-26 00:00:00,2024-05-26 07:00:12.266162,2024-05-26 08:00:12.266162,Delivered,129.58,0.881,0.76,0.863,3858.76,4146.34,60,0
95,ORD00095,302,202,2024-11-19 00:00:00,2024-11-19 11:13:23.484380,2024-11-19 12:53:23.484380,Delivered,349.54,1.092,0.724,0.478,11873.72,11809.29,100,0
96,ORD00096,303,202,2024-11-11 00:00:00,2024-11-11 13:06:03.018143,2024-11-11 16:21:03.018143,Delivered,427.5,0.742,1.0,0.722,11426.01,11774.18,195,0
97,ORD00097,303,204,2024-11-23 00:00:00,2024-11-23 11:30:02.139426,2024-11-23 13:23:02.139426,Delivered,859.16,0.803,1.0,0.222,9823.24,10298.41,113,0
98,ORD00098,307,202,2024-12-01 00:00:00,2024-12-01 16:33:50.072832,2024-12-01 17:39:50.072832,Delivered,284.29,1.013,0.74,0.556,18958.13,19039.61,66,0
99,ORD00099,306,201,2024-05-23 00:00:00,2024-05-23 21:15:15.297135,2024-05-23 22:21:15.297135,Delivered,656.59,0.992,0.43,0.563,27082.51,27117.25,66,0
100,ORD00100,303,203,2025-01-10 00:00:00,2025-01-10 14:30:48.746549,2025-01-10 15:07:48.746549,Delivered,524.27,1.306,0.3,0.514,49936.36,50219.28,37,0
101,ORD00101,303,204,2024-02-19 00:00:00,2024-02-19 14:41:33.717574,2024-02-19 15:32:33.717574,Delivered,497.79,1.068,0.664,0.706,13076.91,12973.33,51,0
102,ORD00102,305,204,2024-10-19 00:00:00,2024-10-19 04:44:58.852638,2024-10-19 06:26:58.852638,Delivered,682.71,0.816,0.856,0.825,2838.17,2738.81,102,0
103,ORD00103,304,201,2024-05-04 00:00:00,2024-05-04 08:58:34.982232,2024-05-04 08:31:34.982232,Delivered,521.4,0.936,0.826,0.561,8516.71,8318.57,-27,1
104,ORD00104,306,204,2024-05-28 00:00:00,2024-05-28 20:17:19.324951,2024-05-28 21:51:19.324951,Delivered,175.69,0.869,0.708,0.189,17510.29,17664.26,94,0
105,ORD00105,306,201,2024-04-25 00:00:00,2024-04-25 21:05:47.161388,2024-04-25 20:53:47.161388,Delivered,434.63,1.076,0.38,0.302,29361.96,29646.98,-12,1
106,ORD00106,305,201,2024-04-27 00:00:00,2024-04-27 04:41:35.590586,2024-04-27 05:53:35.590586,Delivered,454.57,1.278,0.853,0.528,6024.08,6112.44,72,0
107,ORD00107,303,202,2024-04-23 00:00:00,2024-04-23 12:50:35.701187,2024-04-23 13:47:35.701187,Delivered,427.05,0.914,0.166,0.256,14073.7,14222.5,57,0
108,ORD00108,304,203,2024-01-12 00:00:00,2024-01-12 07:54:13.416090,2024-01-12 08:56:13.416090,Delivered,328.72,1.068,0.44,0.733,22432.47,22513.93,62,0
109,ORD00109,301,201,2024-09-22 00:00:00,2024-09-22 05:46:29.472502,2024-09-22 06:28:29.472502,Delivered,515.34,0.964,0.599,0.993,4699.42,4328.79,42,0
110,ORD00110,303,202,2024-03-08 00:00:00,2024-03-08 14:03:50.244433,2024-03-08 14:14:50.244433,Delivered,121.84,1.087,0.61,0.306,16743.39,16991.55,11,0
111,ORD00111,306,203,2024-06-26 00:00:00,2024-06-26 21:08:55.202846,2024-06-26 21:31:55.202846,Delivered,450.67,0.964,0.466,0.377,60713.33,60788.23,23,0
112,ORD00112,303,204,2024-04-25 00:00:00,2024-04-25 14:00:10.965673,2024-04-25 13:19:10.965673,Delivered,182.95,1.046,0.979,0.288,12798.67,12785.2,-41,1
113,ORD00113,304,203,2024-05-28 00:00:00,2024-05-28 07:27:13.519986,2024-05-28 07:26:13.519986,Delivered,524.27,1.022,0.648,0.204,21462.07,21483.59,-1,1
114,ORD00114,301,201,2024-08-14 00:00:00,2024-08-14 05:01:36.951813,2024-08-14 04:15:36.951813,Delivered,299.57,1.177,0.207,0.177,5735.63,5922.82,-46,1
115,ORD00115,306,203,2024-07-21 00:00:00,2024-07-21 18:34:05.831143,2024-07-21 18:58:05.831143,Delivered,595.71,0.967,0.526,0.198,60915.5,60958.08,24,0
116,ORD00116,302,201,2024-01-17 00:00:00,2024-01-17 10:15:33.184866,2024-01-17 09:38:33.184866,Delivered,231.56,1.144,0.213,0.306,13385.38,13481.98,-37,1
117,ORD00117,301,201,2024-04-20 00:00:00,2024-04-20 06:59:45.771669,2024-04-20 06:24:45.771669,Delivered,374.85,1.18,0.361,0.216,5753.28,5992.36,-35,1
118,ORD00118,303,201,2024-09-14 00:00:00,2024-09-14 14:33:22.428034,2024-09-14 16:49:22.428034,Delivered,266.33,1.089,0.914,0.86,18058.4,18395.06,136,0
119,ORD00119,304,203,2024-04-23 00:00:00,2024-04-23 07:46:43.486955,2024-04-23 08:48:43.486955,Delivered,315.05,1.098,0.481,0.561,23055.66,23149.58,62,0
120,ORD00120,301,203,2024-12-10 00:00:00,2024-12-10 06:16:57.287822,2024-12-10 07:00:57.287822,Delivered,425.49,1.098,0.526,0.483,12347.13,12166.58,44,0
121,ORD00121,302,202,2024-04-27 00:00:00,2024-04-27 11:48:40.950103,2024-04-27 12:24:40.950103,Delivered,506.06,1.108,0.706,0.566,12046.47,12073.39,36,0
122,ORD00122,307,201,2024-01-10 00:00:00,2024-01-10 15:58:49.355451,2024-01-10 17:54:49.355451,Delivered,543.58,1.185,0.74,0.617,23884.66,23718.28,116,0
123,ORD00123,301,204,2024-04-30 00:00:00,2024-04-30 05:52:44.586665,2024-04-30 06:52:44.586665,Delivered,352.89,0.948,0.655,0.323,3411.02,3841.87,60,0
124,ORD00124,307,204,2024-07-20 00:00:00,2024-07-20 15:36:01.309732,2024-07-20 18:25:01.309732,Delivered,318.44,0.934,0.169,0.753,13894.6,14265.82,169,0
125,ORD00125,301,201,2025-02-06 00:00:00,2025-02-06 06:46:42.099874,2025-02-06 06:35:42.099874,Delivered,338.42,1.0,0.412,0.336,4873.03,4998.38,-11,1
126,ORD00126,306,202,2024-05-25 00:00:00,2024-05-25 21:57:19.098751,2024-05-25 23:28:19.098751,Delivered,256.72,1.074,0.404,0.466,27248.29,27620.49,91,0
127,ORD00127,302,204,2024-03-18 00:00:00,2024-03-18 10:51:00.338362,2024-03-18 12:32:00.338362,Delivered,266.04,1.006,0.769,0.571,8690.47,9196.12,101,0
128,ORD00128,302,201,2025-02-13 00:00:00,2025-02-13 11:40:26.178305,2025-02-13 10:10:26.178305,Delivered,415.05,0.86,0.678,0.393,10057.44,10376.44,-90,1
129,ORD00129,305,202,2024-03-24 00:00:00,2024-03-24 05:21:12.538461,2024-03-24 05:52:12.538461,Delivered,380.2,0.893,0.58,0.305,3910.03,3820.78,31,0
130,ORD00130,304,203,2024-07-02 00:00:00,2024-07-02 07:04:37.811317,2024-07-02 07:55:37.811317,Delivered,612.8,0.766,0.582,0.402,16091.33,16062.26,51,0
131,ORD00131,301,204,2024-06-02 00:00:00,2024-06-02 04:26:14.834915,2024-06-02 05:16:14.834915,Delivered,175.82,0.849,0.418,0.659,3058.15,3242.1,50,0
132,ORD00132,303,204,2024-11-22 00:00:00,2024-11-22 13:57:51.690664,2024-11-22 13:40:51.690664,Delivered,463.08,1.121,0.667,0.883,13726.53,13983.8,-17,1
133,ORD00133,303,204,2024-04-21 00:00:00,2024-04-21 13:47:56.934678,2024-04-21 13:49:56.934678,Delivered,600.55,1.134,0.515,0.475,13883.97,13833.57,2,0
134,ORD00134,304,202,2024-01-20 00:00:00,2024-01-20 08:13:24.639983,2024-01-20 08:40:24.639983,Delivered,330.45,1.043,0.946,0.555,8818.89,8748.96,27,0
135,ORD00135,308,203,2024-09-10 00:00:00,2024-09-10 16:43:01.418415,2024-09-10 17:08:01.418415,Delivered,40.0,0.944,0.32,0.753,48165.43,48069.03,25,0
136,ORD00136,306,203,2024-02-24 00:00:00,2024-02-24 20:47:40.991013,2024-02-24 22:22:40.991013,Delivered,783.57,1.006,0.265,0.607,63367.94,63228.47,95,0
137,ORD00137,301,204,2024-08-07 00:00:00,2024-08-07 05:27:12.573380,2024-08-07 05:44:12.573380,Delivered,210.63,1.091,0.421,0.56,3928.71,3830.27,17,0
138,ORD00138,307,202,2025-01-09 00:00:00,2025-01-09 16:12:13.219506,2025-01-09 16:17:13.219506,Delivered,329.62,1.047,0.642,0.377,19600.03,19710.59,5,0
139,ORD00139,302,201,2024-05-13 00:00:00,2024-05-13 08:59:36.446765,2024-05-13 08:45:36.446765,Delivered,310.59,0.986,0.835,0.763,11534.23,11767.69,-14,1
140,ORD00140,301,202,2024-06-28 00:00:00,2024-06-28 05:58:37.674976,2024-06-28 05:41:37.674976,Delivered,769.9,1.054,0.612,0.584,4773.18,4481.06,-17,1
141,ORD00141,306,204,2025-01-15 00:00:00,2025-01-15 19:49:15.456752,2025-01-15 21:34:15.456752,Delivered,373.4,1.024,0.847,0.407,20646.65,20962.25,105,0
142,ORD00142,305,204,2024-01-21 00:00:00,2024-01-21 04:31:30.346836,2024-01-21 05:42:30.346836,Delivered,534.25,1.042,0.678,0.536,3626.42,3968.17,71,0
143,ORD00143,308,201,2024-02-15 00:00:00,2024-02-15 19:06:25.490409,2024-02-15 19:02:25.490409,Delivered,403.7,1.102,0.52,0.065,24347.36,24407.12,-4,1
144,ORD00144,304,204,2024-10-10 00:00:00,2024-10-10 08:11:25.798847,2024-10-10 09:24:25.798847,Delivered,486.11,0.936,0.316,0.717,6287.8,6764.67,73,0
145,ORD00145,303,203,2024-07-21 00:00:00,2024-07-21 14:39:20.197434,2024-07-21 16:09:20.197434,Delivered,825.52,1.095,0.932,0.429,41896.22,41985.35,90,0
146,ORD00146,305,202,2024-06-20 00:00:00,2024-06-20 05:47:42.257821,2024-06-20 08:49:42.257821,Delivered,94.19,1.078,0.616,0.628,4722.29,4962.46,182,0
147,ORD00147,305,202,2024-02-07 00:00:00,2024-02-07 06:38:23.872306,2024-02-07 07:12:23.872306,Delivered,268.22,0.808,0.736,0.515,3537.2,3995.97,34,0
148,ORD00148,304,203,2024-07-28 00:00:00,2024-07-28 07:49:26.811075,2024-07-28 06:19:26.811075,Delivered,501.37,0.974,0.44,0.058,20445.11,20221.9,-90,1
149,ORD00149,303,203,2024-05-15 00:00:00,2024-05-15 15:05:04.126499,2024-05-15 15:57:04.126499,Delivered,387.51,1.328,0.406,0.596,50784.68,50748.43,52,0
